Date,Open,High,Low,Close,Adj Close,Volume
1985-01-02,2.242188,2.250000,2.218750,2.226563,0.099119,3361600
1985-01-03,2.226563,2.257813,2.195313,2.195313,0.097728,5819200
1985-01-04,2.203125,2.234375,2.195313,2.234375,0.099467,3787200
1985-01-07,2.242188,2.250000,2.234375,2.234375,0.099467,2508800
1985-01-08,2.242188,2.296875,2.242188,2.257813,0.100510,5800000
1985-01-09,2.257813,2.296875,2.257813,2.281250,0.101554,4145600
1985-01-10,2.289063,2.351563,2.281250,2.351563,0.104684,10144000
1985-01-11,2.351563,2.367188,2.320313,2.320313,0.103293,5044800
1985-01-14,2.296875,2.367188,2.296875,2.359375,0.105032,9147200
1985-01-15,2.359375,2.359375,2.312500,2.343750,0.104336,6008000
1985-01-16,2.351563,2.351563,2.296875,2.335938,0.103988,5827200
1985-01-17,2.335938,2.343750,2.304688,2.328125,0.103641,3030400
1985-01-18,2.343750,2.343750,2.312500,2.328125,0.103641,4297600
1985-01-21,2.312500,2.367188,2.312500,2.367188,0.105380,10614400
1985-01-22,2.367188,2.375000,2.335938,2.343750,0.104336,9617600
1985-01-23,2.351563,2.375000,2.320313,2.375000,0.105727,6422400
1985-01-24,2.367188,2.390625,2.320313,2.335938,0.103988,7179200
1985-01-25,2.335938,2.351563,2.304688,2.304688,0.102597,7033600
1985-01-28,2.312500,2.359375,2.304688,2.335938,0.103988,7315200
1985-01-29,2.343750,2.375000,2.335938,2.375000,0.105727,5649600
1985-01-30,2.382813,2.421875,2.375000,2.421875,0.107814,10435200
1985-01-31,2.414063,2.453125,2.382813,2.437500,0.108510,7913600
1985-02-01,2.390625,2.414063,2.375000,2.390625,0.106423,6368000
1985-02-04,2.367188,2.390625,2.359375,2.375000,0.105727,5560000
1985-02-05,2.390625,2.406250,2.367188,2.390625,0.106423,7856000
1985-02-06,2.382813,2.398438,2.335938,2.343750,0.104336,4124800
1985-02-07,2.343750,2.390625,2.335938,2.390625,0.106423,5945600
1985-02-08,2.375000,2.398438,2.367188,2.398438,0.106771,4222400
1985-02-11,2.398438,2.398438,2.375000,2.390625,0.106423,3539200
1985-02-12,2.382813,2.429688,2.382813,2.421875,0.107814,5848000
1985-02-13,2.390625,2.468750,2.390625,2.453125,0.109205,7492800
1985-02-14,2.468750,2.507813,2.453125,2.476563,0.110249,13444800
1985-02-15,2.406250,2.437500,2.398438,2.406250,0.121928,9577600
1985-02-19,2.390625,2.437500,2.390625,2.414063,0.122323,3278400
1985-02-20,2.398438,2.429688,2.390625,2.414063,0.122323,9198400
1985-02-21,2.390625,2.406250,2.343750,2.343750,0.118761,5355200
1985-02-22,2.343750,2.351563,2.312500,2.335938,0.118365,8356800
1985-02-25,2.312500,2.375000,2.312500,2.375000,0.120344,3918400
1985-02-26,2.375000,2.421875,2.375000,2.421875,0.122719,10342400
