Date,Open,High,Low,Close,Adj Close,Volume
1985-01-02,2.881944,2.881944,2.840278,2.840278,0.601753,3974400
1985-01-03,2.854167,2.895833,2.847222,2.875000,0.609110,2938400
1985-01-04,2.888889,2.888889,2.847222,2.888889,0.612052,1857600
1985-01-07,2.875000,2.930556,2.875000,2.923611,0.619409,3064800
1985-01-08,2.909722,2.958333,2.909722,2.944444,0.623822,2210400
1985-01-09,2.930556,3.027778,2.930556,3.006944,0.637064,5840000
1985-01-10,3.000000,3.013889,2.965278,3.000000,0.635593,4186400
1985-01-11,3.027778,3.041667,3.013889,3.034722,0.642949,5439200
1985-01-14,3.027778,3.097222,3.027778,3.083333,0.653248,4954400
1985-01-15,3.097222,3.131944,3.083333,3.083333,0.653248,6404000
1985-01-16,3.104167,3.111111,3.069444,3.097222,0.656191,3819200
1985-01-17,3.083333,3.097222,3.041667,3.041667,0.644421,2779200
1985-01-18,3.048611,3.104167,3.034722,3.069444,0.650305,1864800
1985-01-21,3.055556,3.131944,3.055556,3.125000,0.662076,3128000
1985-01-22,3.125000,3.152778,3.111111,3.118056,0.663021,4529600
1985-01-23,3.118056,3.194444,3.118056,3.194444,0.679264,3326400
1985-01-24,3.180556,3.236111,3.173611,3.215278,0.730578,8236800
1985-01-25,3.215278,3.250000,3.208333,3.229167,0.733734,2069600
1985-01-28,3.236111,3.284722,3.229167,3.256944,0.740046,4731200
1985-01-29,3.250000,3.291667,3.250000,3.284722,0.746358,2372000
1985-01-30,3.291667,3.291667,3.243056,3.243056,0.736890,5500800
1985-01-31,3.180556,3.208333,3.125000,3.173611,0.721111,5256000
1985-02-01,3.173611,3.194444,3.138889,3.194444,0.725845,2948000
1985-02-04,3.187500,3.319444,3.187500,3.305556,0.751091,3581600
1985-02-05,3.326389,3.368056,3.319444,3.333333,0.757403,5390400
1985-02-06,3.298611,3.347222,3.284722,3.284722,0.746358,4168800
1985-02-07,3.305556,3.361111,3.305556,3.333333,0.757403,3780800
1985-02-08,3.340278,3.409722,3.333333,3.388889,0.770027,3748800
1985-02-11,3.375000,3.388889,3.354167,3.361111,0.763715,3855200
1985-02-12,3.347222,3.354167,3.312500,3.319444,0.754247,3333600
1985-02-13,3.333333,3.416667,3.319444,3.381944,0.768449,6080000
1985-02-14,3.402778,3.430556,3.388889,3.402778,0.773182,3427200
1985-02-15,3.402778,3.416667,3.340278,3.340278,0.758981,1572800
1985-02-19,3.291667,3.305556,3.263889,3.291667,0.747935,3322400
1985-02-20,3.284722,3.333333,3.277778,3.305556,0.751091,9317600
1985-02-21,3.284722,3.319444,3.284722,3.298611,0.749514,3086400
1985-02-22,3.305556,3.319444,3.298611,3.305556,0.751091,1653600
1985-02-25,3.298611,3.340278,3.291667,3.326389,0.755825,2534400
1985-02-26,3.312500,3.354167,3.312500,3.347222,0.760559,2866400
1985-02-27,3.340278,3.354167,3.298611,3.312500,0.752669,3136800
1985-02-28,3.319444,3.347222,3.319444,3.347222,0.760559,1858400
1985-03-01,3.354167,3.465278,3.347222,3.437500,0.781072,5692800
1985-03-04,3.458333,3.458333,3.368056,3.381944,0.768449,2355200
1985-03-05,3.388889,3.444444,3.368056,3.423611,0.777916,3286400
1985-03-06,3.409722,3.423611,3.361111,3.375000,0.766871,3556800
1985-03-07,3.333333,3.333333,3.250000,3.256944,0.740046,7096800
1985-03-08,3.270833,3.291667,3.250000,3.277778,0.744780,3416000
1985-03-11,3.270833,3.270833,3.243056,3.263889,0.741624,2124000
1985-03-12,3.263889,3.298611,3.263889,3.277778,0.744780,2762400
1985-03-13,3.277778,3.284722,3.243056,3.250000,0.738468,3470400
1985-03-14,3.263889,3.305556,3.256944,3.284722,0.746358,2100000
1985-03-15,3.270833,3.326389,3.270833,3.319444,0.754247,4712000
1985-03-18,3.305556,3.326389,3.263889,3.284722,0.746358,3682400
1985-03-19,3.284722,3.333333,3.277778,3.333333,0.757403,2434400
1985-03-20,3.326389,3.347222,3.277778,3.319444,0.754247,4805600
1985-03-21,3.305556,3.333333,3.277778,3.312500,0.752669,2883200
1985-03-22,3.305556,3.319444,3.250000,3.263889,0.741624,2168000
1985-03-25,3.277778,3.298611,3.277778,3.291667,0.747935,2261600
1985-03-26,3.284722,3.305556,3.263889,3.291667,0.747935,3632000
1985-03-27,3.284722,3.340278,3.277778,3.333333,0.757403,3326400
1985-03-28,3.340278,3.347222,3.319444,3.319444,0.754247,2876000
1985-03-29,3.312500,3.326389,3.291667,3.291667,0.747935,3732800
1985-04-01,3.305556,3.319444,3.291667,3.312500,0.752669,2664000
1985-04-02,3.319444,3.326389,3.263889,3.277778,0.744780,2945600
1985-04-03,3.284722,3.291667,3.236111,3.236111,0.735313,1908800
1985-04-04,3.243056,3.250000,3.222222,3.243056,0.736890,1339200
1985-04-08,3.291667,3.298611,3.270833,3.284722,0.746358,6509600
1985-04-09,3.263889,3.291667,3.263889,3.284722,0.746358,1569600
1985-04-10,3.298611,3.354167,3.298611,3.347222,0.760559,2532000
1985-04-11,3.375000,3.381944,3.319444,3.326389,0.755825,3596000
1985-04-12,3.326389,3.340278,3.319444,3.326389,0.755825,3619200
1985-04-15,3.340278,3.347222,3.326389,3.333333,0.757403,1023200
1985-04-16,3.333333,3.333333,3.291667,3.326389,0.755825,2084000
1985-04-17,3.333333,3.347222,3.326389,3.347222,0.760559,3744000
1985-04-18,3.375000,3.402778,3.354167,3.388889,0.770027,3401600
1985-04-19,3.395833,3.402778,3.375000,3.381944,0.768449,976800
1985-04-22,3.402778,3.402778,3.361111,3.381944,0.768449,777600
1985-04-23,3.381944,3.402778,3.368056,3.395833,0.771605,2340000
1985-04-24,3.409722,3.437500,3.402778,3.423611,0.777916,2265600
1985-04-25,3.416667,3.520833,3.416667,3.513889,0.798429,4360800
1985-04-26,3.500000,3.506944,3.472222,3.472222,0.788962,2150400
1985-04-29,3.465278,3.479167,3.430556,3.444444,0.782650,1354400
1985-04-30,3.430556,3.444444,3.375000,3.375000,0.766871,3031200
1985-05-01,3.347222,3.361111,3.298611,3.298611,0.749514,2974400
1985-05-02,3.291667,3.333333,3.291667,3.312500,0.752669,3356000
1985-05-03,3.312500,3.361111,3.312500,3.340278,0.758981,2585600
1985-05-06,3.340278,3.375000,3.326389,3.361111,0.763715,4310400
1985-05-07,3.347222,3.416667,3.347222,3.388889,0.770027,3972000
1985-05-08,3.381944,3.388889,3.354167,3.375000,0.766871,2546400
1985-05-09,3.368056,3.444444,3.361111,3.437500,0.781072,4348800
1985-05-10,3.458333,3.500000,3.437500,3.479167,0.790540,3074400
1985-05-13,3.486111,3.520833,3.479167,3.513889,0.798429,2901600
1985-05-14,3.555556,3.569444,3.534722,3.548611,0.806319,5969600
1985-05-15,3.548611,3.562500,3.534722,3.534722,0.803163,2319200
1985-05-16,3.548611,3.562500,3.534722,3.548611,0.806319,2124800
1985-05-17,3.562500,3.576389,3.541667,3.555556,0.807897,3408800
1985-05-20,3.576389,3.597222,3.576389,3.583333,0.814209,3312800
1985-05-21,3.583333,3.590278,3.569444,3.583333,0.814209,3547200
1985-05-22,3.590278,3.625000,3.583333,3.625000,0.823676,3367200
1985-05-23,3.659722,3.694444,3.625000,3.666667,0.833143,7046400
1985-05-24,3.666667,3.743056,3.666667,3.722222,0.845767,7344800
1985-05-28,3.722222,3.736111,3.680556,3.701389,0.841033,1339200
1985-05-29,3.708333,3.722222,3.694444,3.715278,0.844189,2991200
1985-05-30,3.715278,3.715278,3.694444,3.708333,0.842611,3392000
1985-05-31,3.708333,3.736111,3.708333,3.708333,0.845461,2614400
1985-06-03,3.694444,3.729167,3.687500,3.729167,0.850211,2321600
1985-06-04,3.708333,3.833333,3.708333,3.812500,0.925021,4701600
1985-06-05,3.826389,3.847222,3.812500,3.819444,0.926706,3916800
1985-06-06,3.833333,3.875000,3.819444,3.868056,0.938500,6257600
1985-06-07,3.861111,3.875000,3.819444,3.833333,0.930076,5314400
1985-06-10,3.833333,3.833333,3.819444,3.826389,0.928391,1508000
1985-06-11,3.826389,3.826389,3.791667,3.791667,0.919966,4366400
1985-06-12,3.750000,3.777778,3.729167,3.729167,0.904802,2908800
1985-06-13,3.722222,3.750000,3.673611,3.673611,0.891323,2904800
1985-06-14,3.708333,3.715278,3.638889,3.715278,0.901432,4395200
1985-06-17,3.729167,3.763889,3.715278,3.743056,0.908172,1606400
1985-06-18,3.750000,3.847222,3.750000,3.847222,0.933446,3200000
1985-06-19,3.847222,3.875000,3.812500,3.819444,0.926706,4848800
1985-06-20,3.805556,3.847222,3.750000,3.784722,0.918281,3356000
1985-06-21,3.777778,3.777778,3.736111,3.743056,0.908172,4515200
1985-06-24,3.729167,3.743056,3.715278,3.715278,0.901432,2976800
1985-06-25,3.729167,3.750000,3.708333,3.715278,0.901432,3556800
1985-06-26,3.715278,3.763889,3.715278,3.743056,0.908172,3156800
1985-06-27,3.750000,3.777778,3.750000,3.756944,0.911542,4364000
1985-06-28,3.791667,3.833333,3.770833,3.805556,0.923336,2955200
1985-07-01,3.798611,3.854167,3.777778,3.854167,0.935131,2091200
1985-07-02,3.854167,3.888889,3.833333,3.881944,0.941871,3432000
1985-07-03,3.881944,3.888889,3.847222,3.861111,0.936816,1500800
1985-07-05,3.875000,3.881944,3.854167,3.868056,0.938500,1296000
1985-07-08,3.861111,3.868056,3.826389,3.833333,0.930076,3477600
1985-07-09,3.826389,3.826389,3.777778,3.798611,0.921652,1760000
1985-07-10,3.784722,3.798611,3.736111,3.763889,0.913227,2976800
1985-07-11,3.777778,3.791667,3.756944,3.756944,0.911542,2085600
1985-07-12,3.756944,3.763889,3.729167,3.743056,0.908172,1479200
1985-07-15,3.750000,3.777778,3.736111,3.763889,0.913227,1869600
1985-07-16,3.777778,3.784722,3.743056,3.763889,0.913227,3266400
1985-07-17,3.777778,3.791667,3.763889,3.791667,0.919966,7289600
1985-07-18,3.791667,3.798611,3.777778,3.777778,0.916597,2073600
1985-07-19,3.777778,3.819444,3.777778,3.812500,0.925021,1709600
1985-07-22,3.805556,3.812500,3.798611,3.812500,0.925021,1569600
1985-07-23,3.750000,3.819444,3.743056,3.750000,0.912850,3276000
1985-07-24,3.756944,3.756944,3.673611,3.708333,0.902707,3052800
1985-07-25,3.694444,3.694444,3.611111,3.638889,0.943019,4737600
1985-07-26,3.645833,3.659722,3.604167,3.659722,0.948418,2628800
1985-07-29,3.659722,3.666667,3.555556,3.555556,0.921423,3694400
1985-07-30,3.576389,3.611111,3.555556,3.597222,0.932222,3345600
1985-07-31,3.625000,3.659722,3.625000,3.652778,0.946618,4780800
1985-08-01,3.652778,3.666667,3.645833,3.666667,0.950218,4104800
1985-08-02,3.659722,3.694444,3.652778,3.673611,0.952017,2323200
1985-08-05,3.687500,3.687500,3.659722,3.666667,0.950218,3089600
1985-08-06,3.673611,3.673611,3.597222,3.611111,0.935821,3264800
1985-08-07,3.583333,3.625000,3.583333,3.611111,0.935821,3312000
1985-08-08,3.631944,3.631944,3.611111,3.631944,0.941219,2736800
1985-08-09,3.618056,3.645833,3.618056,3.625000,0.939420,1603200
1985-08-12,3.638889,3.645833,3.611111,3.618056,0.937620,1664000
1985-08-13,3.618056,3.638889,3.597222,3.611111,0.935821,4485600
1985-08-14,3.604167,3.611111,3.583333,3.583333,0.928621,1664000
1985-08-15,3.604167,3.604167,3.583333,3.583333,0.928621,1822400
1985-08-16,3.583333,3.597222,3.576389,3.576389,0.926822,1468800
1985-08-19,3.583333,3.631944,3.583333,3.604167,0.934021,2348000
1985-08-20,3.604167,3.604167,3.590278,3.597222,0.932222,5304000
1985-08-21,3.583333,3.611111,3.583333,3.611111,0.935821,3704000
1985-08-22,3.611111,3.611111,3.555556,3.569444,0.925022,1814400
1985-08-23,3.576389,3.583333,3.555556,3.562500,0.923223,2595200
1985-08-26,3.562500,3.583333,3.555556,3.576389,0.926822,1303200
1985-08-27,3.583333,3.604167,3.583333,3.604167,0.934021,1099200
1985-08-28,3.604167,3.611111,3.590278,3.611111,0.935821,2409600
1985-08-29,3.618056,3.625000,3.604167,3.611111,0.935821,1092000
1985-08-30,3.625000,3.625000,3.590278,3.590278,0.930421,2416800
1985-09-03,3.604167,3.625000,3.597222,3.611111,0.935821,2877600
1985-09-04,3.611111,3.611111,3.583333,3.597222,0.932222,4008000
1985-09-05,3.618056,3.625000,3.611111,3.618056,0.937620,3252000
1985-09-06,3.631944,3.645833,3.618056,3.645833,0.944819,2884800
1985-09-09,3.652778,3.729167,3.645833,3.722222,0.964615,4712000
1985-09-10,3.833333,3.833333,3.659722,3.666667,0.950218,17225600
1985-09-11,3.652778,3.694444,3.631944,3.666667,0.950218,4301600
1985-09-12,3.666667,3.680556,3.631944,3.638889,0.943019,6120000
1985-09-13,3.638889,3.638889,3.576389,3.611111,0.935821,7730400
1985-09-16,3.625000,3.652778,3.604167,3.618056,0.937620,1666400
1985-09-17,3.625000,3.645833,3.583333,3.604167,0.934021,3499200
1985-09-18,3.576389,3.597222,3.541667,3.597222,0.932222,4863200
1985-09-19,3.590278,3.611111,3.569444,3.597222,0.932222,3010400
1985-09-20,3.597222,3.611111,3.506944,3.506944,0.908825,2926400
1985-09-23,3.534722,3.569444,3.534722,3.541667,0.917824,4389600
1985-09-24,3.541667,3.541667,3.458333,3.486111,0.903426,2091200
1985-09-25,3.520833,3.527778,3.479167,3.500000,0.907026,4716800
1985-09-26,3.486111,3.576389,3.486111,3.576389,0.926822,4553600
1985-09-30,3.583333,3.611111,3.569444,3.604167,0.934021,2796800
1985-10-01,3.597222,3.631944,3.576389,3.631944,0.941219,2530400
1985-10-02,3.638889,3.645833,3.625000,3.625000,0.939420,5933600
1985-10-03,3.631944,3.638889,3.618056,3.625000,0.939420,1685600
1985-10-04,3.625000,3.631944,3.590278,3.597222,0.932222,1202400
