Date,Open,High,Low,Close,Adj Close,Volume
1985-01-02,1.750000,1.750000,1.682292,1.682292,0.001779,7845600
1985-01-03,1.682292,1.682292,1.619792,1.635417,0.001729,12559200
1985-01-04,1.635417,1.635417,1.609375,1.635417,0.001729,5476800
1985-01-07,1.625000,1.640625,1.609375,1.635417,0.001729,4958400
1985-01-08,1.640625,1.656250,1.640625,1.645833,0.001740,5844000
1985-01-09,1.640625,1.661458,1.640625,1.656250,0.001751,7200000
1985-01-10,1.645833,1.708333,1.640625,1.708333,0.001806,10094400
1985-01-11,1.697917,1.697917,1.677083,1.687500,0.001784,11047200
1985-01-14,1.682292,1.734375,1.677083,1.729167,0.001828,7610400
1985-01-15,1.744792,1.744792,1.708333,1.734375,0.001834,13946400
1985-01-16,1.744792,1.755208,1.718750,1.729167,0.001828,13660800
1985-01-17,1.739583,1.739583,1.661458,1.677083,0.001773,13963200
1985-01-18,1.666667,1.671875,1.614583,1.640625,0.001735,13423200
1985-01-21,1.651042,1.723958,1.651042,1.713542,0.001812,15537600
1985-01-22,1.739583,1.744792,1.666667,1.666667,0.001762,14337600
1985-01-23,1.661458,1.708333,1.656250,1.697917,0.001795,11368800
1985-01-24,1.703125,1.718750,1.677083,1.677083,0.001773,11884800
1985-01-25,1.687500,1.687500,1.645833,1.651042,0.001746,16137600
1985-01-28,1.645833,1.677083,1.640625,1.651042,0.001762,9336000
1985-01-29,1.640625,1.713542,1.635417,1.708333,0.001823,9600000
1985-01-30,1.687500,1.703125,1.651042,1.666667,0.001779,15016800
1985-01-31,1.656250,1.656250,1.635417,1.645833,0.001757,21388800
1985-02-01,1.640625,1.645833,1.630208,1.635417,0.001745,8109600
1985-02-04,1.645833,1.677083,1.635417,1.671875,0.001784,9775200
1985-02-05,1.666667,1.697917,1.666667,1.687500,0.001801,8220000
1985-02-06,1.677083,1.682292,1.671875,1.677083,0.001790,10624800
1985-02-07,1.682292,1.692708,1.677083,1.687500,0.001801,11697600
1985-02-08,1.687500,1.703125,1.682292,1.692708,0.001807,11354400
1985-02-11,1.697917,1.697917,1.671875,1.677083,0.001790,7627200
1985-02-12,1.671875,1.677083,1.656250,1.666667,0.001779,6799200
1985-02-13,1.661458,1.666667,1.651042,1.666667,0.001779,20932800
1985-02-14,1.666667,1.671875,1.640625,1.656250,0.001768,19444800
1985-02-15,1.661458,1.666667,1.645833,1.661458,0.001773,13963200
1985-02-19,1.661458,1.682292,1.645833,1.671875,0.001784,16293600
1985-02-20,1.661458,1.661458,1.619792,1.635417,0.001745,15861600
1985-02-21,1.625000,1.635417,1.609375,1.619792,0.001729,9340800
1985-02-22,1.630208,1.635417,1.593750,1.598958,0.001706,9177600
1985-02-25,1.593750,1.593750,1.567708,1.588542,0.001695,9220800
1985-02-26,1.583333,1.661458,1.578125,1.604167,0.001712,14330400
