T	Train	Test
1	0.6154878048780488	0.5124390243902439
3	0.7544512195121952	0.49658536585365864
5	0.8216463414634146	0.524390243902439
7	0.8529878048780489	0.5185365853658537
9	0.8742682926829268	0.5109756097560976
11	0.9195121951219513	0.5175609756097562
13	0.9482926829268292	0.5185365853658536
15	0.9635365853658537	0.5165853658536586
17	0.9739024390243903	0.5104878048780488
19	0.9785365853658536	0.5170731707317073
21	0.9863414634146341	0.5136585365853658
23	0.985548780487805	0.504390243902439
25	0.9904878048780488	0.5051219512195123
27	0.9863414634146341	0.4995121951219512
29	0.9919512195121953	0.5109756097560975
31	0.9869512195121951	0.519512195121951
33	0.9958536585365854	0.5117073170731707
35	0.9919512195121951	0.5134146341463415
37	0.991890243902439	0.5214634146341462
39	0.9974390243902441	0.5053658536585366
41	0.9945121951219511	0.5051219512195123
43	0.9901829268292681	0.5187804878048781
45	0.9945121951219512	0.5158536585365853
47	0.9912195121951222	0.49487804878048774
49	0.9955487804878048	0.504390243902439
51	0.9968902439024392	0.5148780487804878
53	0.9776219512195121	0.506341463414634
55	0.9933536585365854	0.513658536585366
57	0.9934146341463415	0.4939024390243903
59	0.9916463414634145	0.5117073170731707
61	0.9815243902439024	0.5163414634146342
63	0.9944512195121952	0.5121951219512195
65	0.9959146341463414	0.5151219512195122
67	0.9946951219512196	0.5236585365853658
69	0.9906707317073172	0.5029268292682927
71	0.9965853658536584	0.5060975609756099
73	0.9964024390243902	0.5112195121951219
75	0.9941463414634149	0.5148780487804876
77	0.9943292682926828	0.5165853658536586
79	0.9929268292682927	0.5080487804878048
81	0.9945121951219511	0.4975609756097562
83	0.994329268292683	0.5014634146341465
85	0.9937195121951218	0.5192682926829268
87	0.9912195121951217	0.5136585365853659
89	0.9899390243902438	0.5107317073170733
91	0.9888414634146342	0.5014634146341463
93	0.9918292682926829	0.5251219512195122
95	0.9936585365853657	0.5065853658536587
97	0.9962804878048781	0.528048780487805
99	0.9973170731707317	0.5073170731707317
101	0.9775609756097563	0.5060975609756098
